GSE15533	Sakai chlorine / control...	0.828
z0783	z0783	10.335	-0.056
ecs0675	ecs0675	10.335	-0.056
b0639	b0639	10.218	-0.056
c0730	c0730	10.218	-0.056
z0786	z0786	10.218	-0.056
ecs0677	ecs0677	10.218	-0.056
b0640	b0640	9.268	-0.428
z0787	z0787	9.268	-0.428
ecs0678	ecs0678	9.268	-0.428
c0731	c0731	9.268	-0.428
b0642	b0642	10.997	-0.280
ecs0680	ecs0680	10.997	-0.280
c0733	c0733	10.997	-0.280
z0789	z0789	10.997	-0.280
b0644	b0644	8.339	0.074
b0645	b0645	-0.415	0.920
b0646	b0646	2.720	2.063
b0649	b0649	8.480	0.189
b0652	b0652	9.608	0.184
z0802	z0802	9.608	0.184
ecs0691	ecs0691	9.608	0.184
c0736	c0736	9.608	0.184
b0653	b0653	9.247	0.066
z0803	z0803	9.247	0.066
ecs0692	ecs0692	9.247	0.066
c0737	c0737	9.247	0.066
b0655	b0655	9.562	0.216
ecs0694	ecs0694	9.562	0.216
z0805	z0805	9.562	0.216
c0739	c0739	9.562	0.216
b0660	b0660	10.339	0.160
ecs0698	ecs0698	10.339	0.160
c0745	c0745	10.339	0.160
z0809	z0809	10.339	0.160
b0674	b0674	3.593	-1.343
b0676	b0676	6.710	-0.537
b0678	b0678	9.377	0.277
ecs0708	ecs0708	9.377	0.277
z0825	z0825	9.377	0.277
c0753	c0753	9.377	0.277
b0679	b0679	1.043	-2.185
b0684	b0684	10.862	-0.011
ecs0715	ecs0715	10.862	-0.011
z0832	z0832	10.862	-0.011
b0685	b0685	10.366	-0.616
ecs0716	ecs0716	10.366	-0.616
z0834	z0834	10.366	-0.616
c0772	c0772	10.366	-0.616
b0687	b0687	10.525	-0.357
z0836	z0836	10.525	-0.357
ecs0718	ecs0718	10.525	-0.357
c0774	c0774	10.525	-0.357
b0689	b0689	0.169	-0.278
b0690	b0690	3.168	-0.568
b0691	b0691	-0.204	-1.008
b0693	b0693	-0.502	-1.592
b0695	b0695	9.918	0.169
z0842	z0842	9.918	0.169
ecs0723	ecs0723	9.918	0.169
b0698	b0698	3.450	0.314
b0699	b0699	9.662	1.008
c0785	c0785	9.662	1.008
z0846	z0846	9.662	1.008
ecs0728	ecs0728	9.662	1.008
b0701	b0701	1.432	-2.224
b0703	b0703	8.753	0.042
z0851	z0851	8.753	0.042
b0706	b0706	1.912	-1.184
b0707	b0707	9.294	0.609
z0858	z0858	9.294	0.609
ecs0732	ecs0732	9.294	0.609
b0708	b0708	4.082	-0.914
b0710	b0710	10.734	0.824
z0861	z0861	10.734	0.824
c0789	c0789	10.734	0.824
ecs0735	ecs0735	10.734	0.824
b0715	b0715	4.006	-1.303
b0716	b0716	3.920	-1.775
b0717	b0717	2.580	-2.154
b0718	b0718	2.140	0.640
b0719	b0719	1.665	0.159
b0721	b0721	8.144	0.114
z0875	z0875	8.144	0.114
ecs0746	ecs0746	8.144	0.114
c0798	c0798	8.144	0.114
b0725	b0725	9.340	0.062
b0728	b0728	9.659	0.535
z0882	z0882	9.659	0.535
c0805	c0805	9.659	0.535
ecs0753	ecs0753	9.659	0.535
b0730	b0730	3.374	-1.523
b0731	b0731	0.648	0.173
b0732	b0732	2.863	0.141
b0736	b0736	10.555	-0.713
z0904	z0904	10.555	-0.713
ecs0771	ecs0771	10.555	-0.713
c0815	c0815	10.555	-0.713
b0751	b0751	8.485	0.368
z0920	z0920	8.485	0.368
