GSE15533	Sakai chlorine / control...	0.828
z2316	z2316	9.681	0.268
ecs2013	ecs2013	9.681	0.268
b1411	b1411	9.681	0.268
z2317	z2317	9.192	0.173
b1410	b1410	9.192	0.173
ecs2012	ecs2012	9.192	0.173
z2318	z2318	9.022	0.144
ecs2011	ecs2011	9.022	0.144
c1835	c1835	9.022	0.144
b1409	b1409	9.022	0.144
z2322	z2322	9.368	-0.030
z2323	z2323	8.925	-0.146
z2325	z2325	8.393	0.174
z2327	z2327	9.560	0.163
ecs2004	ecs2004	9.560	0.163
z2330	z2330	10.501	0.001
c1826	c1826	10.501	0.001
ecs2001	ecs2001	10.501	0.001
b1379	b1379	10.501	0.001
z2333	z2333	9.448	0.096
z2342	z2342	10.976	0.054
z2344	z2344	8.981	0.341
z2348	z2348	8.806	0.009
z2350	z2350	9.883	0.146
z2351	z2351	10.129	0.124
z2354	z2354	8.076	0.396
ecs2725	ecs2725	8.076	0.396
z2367	z2367	9.213	0.150
z2368	z2368	9.650	0.090
z2369	z2369	9.702	0.212
ecs2739	ecs2739	9.702	0.212
z2370	z2370	8.969	0.057
ecs2740	ecs2740	8.969	0.057
z2372	z2372	7.805	-0.051
z2379	z2379	9.326	0.047
ecs1959	ecs1959	9.326	0.047
z2382	z2382	9.433	0.273
z2384	z2384	10.057	-0.003
z2385	z2385	9.114	0.208
ecs1956	ecs1956	9.114	0.208
z2387	z2387	9.280	-0.732
ecs1954	ecs1954	9.280	-0.732
z2389	z2389	9.081	-0.613
ecs1953	ecs1953	9.081	-0.613
z2392	z2392	8.732	0.133
ecs1950	ecs1950	8.732	0.133
z2393	z2393	9.541	0.205
ecs1949	ecs1949	9.541	0.205
z2397	z2397	9.118	0.295
ecs1944	ecs1944	9.118	0.295
z2399	z2399	9.338	0.191
ecs1942	ecs1942	9.338	0.191
z2400	z2400	9.738	0.118
z2404	z2404	9.351	0.099
b1353	b1353	9.351	0.099
ecs1937	ecs1937	9.351	0.099
z2415	z2415	9.018	0.244
ecs1929	ecs1929	9.018	0.244
z2419	z2419	9.300	0.409
c1816	c1816	9.300	0.409
b1342	b1342	9.300	0.409
ecs1926	ecs1926	9.300	0.409
z2427	z2427	8.944	0.070
b1337	b1337	8.944	0.070
ecs1921	ecs1921	8.944	0.070
z2439	z2439	8.884	0.419
ecs1910	ecs1910	8.884	0.419
c1802	c1802	8.884	0.419
b1328	b1328	8.884	0.419
z2442	z2442	8.921	0.253
c1801	c1801	8.921	0.253
ecs1909	ecs1909	8.921	0.253
b1327	b1327	8.921	0.253
z2444	z2444	9.266	0.110
z2445	z2445	9.566	0.061
z2452	z2452	10.251	0.556
b1324	b1324	10.251	0.556
ecs1903	ecs1903	10.251	0.556
c1796	c1796	10.251	0.556
z2454	z2454	8.486	-0.677
ecs1902	ecs1902	8.486	-0.677
z2465	z2465	7.870	0.348
ecs1896	ecs1896	7.870	0.348
z2473	z2473	9.133	0.298
z2474	z2474	7.509	0.366
z2475	z2475	9.132	0.060
z2476	z2476	9.585	0.046
z2477	z2477	9.422	-0.052
ecs1885	ecs1885	9.422	-0.052
b1308	b1308	9.422	-0.052
c1779	c1779	9.422	-0.052
z2478	z2478	8.410	0.213
ecs1884	ecs1884	8.410	0.213
c1778	c1778	8.410	0.213
b1307	b1307	8.410	0.213
z2480	z2480	9.601	0.271
b1305	b1305	9.601	0.271
ecs1882	ecs1882	9.601	0.271
c1775	c1775	9.601	0.271
z2486	z2486	9.428	0.241
ecs1879	ecs1879	9.428	0.241
z2487	z2487	8.583	0.204
ecs1878	ecs1878	8.583	0.204
z2488	z2488	9.544	0.166
b1300	b1300	9.544	0.166
ecs1877	ecs1877	9.544	0.166
z2492	z2492	9.426	0.214
ecs1873	ecs1873	9.426	0.214
z2500	z2500	9.363	-0.021
b1290	b1290	9.363	-0.021
ecs1867	ecs1867	9.363	-0.021
c1767	c1767	9.363	-0.021
z2501	z2501	9.347	0.191
z2503	z2503	9.288	0.199
z2504	z2504	8.196	0.165
z2506	z2506	9.512	0.214
z2507	z2507	8.519	0.089
z2508	z2508	8.951	0.168
z2509	z2509	9.201	0.330
ecs1863	ecs1863	9.201	0.330
c1761	c1761	9.201	0.330
z2510	z2510	8.862	0.268
c1760	c1760	8.862	0.268
ecs1862	ecs1862	8.862	0.268
z2511	z2511	9.085	0.382
z2516	z2516	9.239	0.623
b1285	b1285	9.239	0.623
ecs1858	ecs1858	9.239	0.623
z2521	z2521	8.827	0.308
ecs1857	ecs1857	8.827	0.308
b1284	b1284	8.827	0.308
c1754	c1754	8.827	0.308
z2526	z2526	9.658	-0.228
b1280	b1280	9.658	-0.228
ecs1853	ecs1853	9.658	-0.228
c1749	c1749	9.658	-0.228
z2533	z2533	9.609	-0.355
ecs1848	ecs1848	9.609	-0.355
c1744	c1744	9.609	-0.355
z2541	z2541	10.913	0.114
c1734	c1734	10.913	0.114
b1269	b1269	10.913	0.114
ecs1841	ecs1841	10.913	0.114
z2546	z2546	8.714	-0.095
z2547	z2547	8.237	0.215
z2554	z2554	9.546	0.316
b1258	b1258	9.546	0.316
c1724	c1724	9.546	0.316
ecs1830	ecs1830	9.546	0.316
z2557	z2557	8.052	0.253
z2558	z2558	8.635	0.302
z2562	z2562	9.685	0.228
z2563	z2563	9.467	0.135
ecs1826	ecs1826	9.467	0.135
z2566	z2566	9.462	0.045
z2568	z2568	9.502	0.144
z2569	z2569	9.511	0.141
c1972	c1972	9.511	0.141
ecs2288	ecs2288	9.511	0.141
b1582	b1582	9.511	0.141
z2571	z2571	11.071	0.012
c1974	c1974	11.071	0.012
ecs2290	ecs2290	11.071	0.012
b1584	b1584	11.071	0.012
z2575	z2575	9.784	-0.789
c1977	c1977	9.784	-0.789
b1587	b1587	9.784	-0.789
ecs2293	ecs2293	9.784	-0.789
z2577	z2577	8.967	-1.143
c1979	c1979	8.967	-1.143
b1589	b1589	8.967	-1.143
ecs2295	ecs2295	8.967	-1.143
z2597	z2597	9.288	0.254
c1994	c1994	9.288	0.254
ecs2308	ecs2308	9.288	0.254
b1602	b1602	9.288	0.254
z2603	z2603	10.150	-1.003
ecs2310	ecs2310	10.150	-1.003
c1996	c1996	10.150	-1.003
b1604	b1604	10.150	-1.003
z2608	z2608	8.516	0.249
ecs2313	ecs2313	8.516	0.249
b1607	b1607	8.516	0.249
c1999	c1999	8.516	0.249
z2610	z2610	9.553	0.119
b1609	b1609	9.553	0.119
ecs2315	ecs2315	9.553	0.119
c2001	c2001	9.553	0.119
z2615	z2615	9.754	-0.049
b1612	b1612	9.754	-0.049
ecs2318	ecs2318	9.754	-0.049
c2004	c2004	9.754	-0.049
z2618	z2618	9.547	0.111
z2621	z2621	8.951	0.232
z2626	z2626	8.451	-0.159
ecs2329	ecs2329	8.451	-0.159
c2013	c2013	8.451	-0.159
b1621	b1621	8.451	-0.159
z2629	z2629	9.404	0.088
b1624	b1624	9.404	0.088
c2016	c2016	9.404	0.088
ecs2332	ecs2332	9.404	0.088
z2631	z2631	9.777	-0.339
c2017	c2017	9.777	-0.339
ecs2334	ecs2334	9.777	-0.339
b1625	b1625	9.777	-0.339
z2632	z2632	9.325	-0.145
b1626	b1626	9.325	-0.145
ecs2335	ecs2335	9.325	-0.145
c2018	c2018	9.325	-0.145
z2634	z2634	10.276	0.288
b1628	b1628	10.276	0.288
ecs2337	ecs2337	10.276	0.288
c2020	c2020	10.276	0.288
z2639	z2639	8.553	-0.289
b1630	b1630	8.553	-0.289
ecs2339	ecs2339	8.553	-0.289
c2022	c2022	8.553	-0.289
z2642	z2642	9.939	-0.169
c2024	c2024	9.939	-0.169
ecs2341	ecs2341	9.939	-0.169
b1632	b1632	9.939	-0.169
z2652	z2652	9.453	-0.455
ecs2347	ecs2347	9.453	-0.455
c2030	c2030	9.453	-0.455
b1638	b1638	9.453	-0.455
z2655	z2655	11.969	-0.358
ecs2350	ecs2350	11.969	-0.358
c2033	c2033	11.969	-0.358
b1641	b1641	11.969	-0.358
z2661	z2661	9.909	0.439
b1646	b1646	9.909	0.439
c2038	c2038	9.909	0.439
ecs2355	ecs2355	9.909	0.439
z2664	z2664	9.368	-0.020
ecs2356	ecs2356	9.368	-0.020
b1647	b1647	9.368	-0.020
c2039	c2039	9.368	-0.020
z2665	z2665	8.504	0.212
b1648	b1648	8.504	0.212
ecs2358	ecs2358	8.504	0.212
c2040	c2040	8.504	0.212
z2666	z2666	9.801	2.478
ecs2357	ecs2357	9.801	2.478
z2673	z2673	8.783	0.221
ecs2362	ecs2362	8.783	0.221
z2677	z2677	9.985	-0.694
ecs2364	ecs2364	9.985	-0.694
c2049	c2049	9.985	-0.694
b1655	b1655	9.985	-0.694
z2679	z2679	9.493	0.143
ecs2366	ecs2366	9.493	0.143
c2051	c2051	9.493	0.143
b1657	b1657	9.493	0.143
z2685	z2685	8.874	0.503
b1660	b1660	8.874	0.503
ecs2369	ecs2369	8.874	0.503
c2054	c2054	8.874	0.503
z2688	z2688	9.947	0.147
ecs2371	ecs2371	9.947	0.147
b1662	b1662	9.947	0.147
c2056	c2056	9.947	0.147
z2695	z2695	8.749	0.209
c2060	c2060	8.749	0.209
ecs2375	ecs2375	8.749	0.209
b1668	b1668	8.749	0.209
z2701	z2701	8.460	0.145
c2067	c2067	8.460	0.145
ecs2380	ecs2380	8.460	0.145
b1673	b1673	8.460	0.145
z2704	z2704	10.971	-1.654
c2071	c2071	10.971	-1.654
ecs2383	ecs2383	10.971	-1.654
b1676	b1676	10.971	-1.654
z2710	z2710	8.749	0.415
c2077	c2077	8.749	0.415
ecs2389	ecs2389	8.749	0.415
b1682	b1682	8.749	0.415
z2714	z2714	9.227	0.224
c2081	c2081	9.227	0.224
ecs2393	ecs2393	9.227	0.224
b1686	b1686	9.227	0.224
z2716	z2716	8.698	0.117
ecs2395	ecs2395	8.698	0.117
c2083	c2083	8.698	0.117
b1688	b1688	8.698	0.117
z2718	z2718	8.189	0.213
ecs2397	ecs2397	8.189	0.213
b1690	b1690	8.189	0.213
z2720	z2720	9.554	0.234
ecs2399	ecs2399	9.554	0.234
c2087	c2087	9.554	0.234
b1692	b1692	9.554	0.234
z2726	z2726	9.614	0.285
b1697	b1697	9.614	0.285
c2093	c2093	9.614	0.285
ecs2404	ecs2404	9.614	0.285
z2729	z2729	8.730	0.222
ecs2407	ecs2407	8.730	0.222
c2096	c2096	8.730	0.222
b1700	b1700	8.730	0.222
z2730	z2730	8.365	0.197
b1701	b1701	8.365	0.197
ecs2408	ecs2408	8.365	0.197
z2731	z2731	9.303	0.577
c2098	c2098	9.303	0.577
b1702	b1702	9.303	0.577
ecs2409	ecs2409	9.303	0.577
z2734	z2734	9.502	0.219
c2101	c2101	9.502	0.219
ecs2412	ecs2412	9.502	0.219
b1705	b1705	9.502	0.219
z2735	z2735	9.986	0.312
ecs2413	ecs2413	9.986	0.312
b1706	b1706	9.986	0.312
c2102	c2102	9.986	0.312
z2736	z2736	8.856	-0.020
b1707	b1707	8.856	-0.020
ecs2414	ecs2414	8.856	-0.020
c2103	c2103	8.856	-0.020
z2744	z2744	8.924	0.013
c5495	c5495	8.924	0.013
ecs2422	ecs2422	8.924	0.013
b1715	b1715	8.924	0.013
z2745	z2745	10.236	-1.123
ecs2423	ecs2423	10.236	-1.123
c2113	c2113	10.236	-1.123
b1716	b1716	10.236	-1.123
z2746	z2746	11.620	-0.944
c5639	c5639	11.620	-0.944
b1717	b1717	11.620	-0.944
ecs2424	ecs2424	11.620	-0.944
z2748	z2748	11.370	-0.515
ecs2426	ecs2426	11.370	-0.515
z2753	z2753	9.625	0.572
ecs2430	ecs2430	9.625	0.572
c2123	c2123	9.625	0.572
b1724	b1724	9.625	0.572
z2756	z2756	9.295	0.182
c2126	c2126	9.295	0.182
b1727	b1727	9.295	0.182
ecs2433	ecs2433	9.295	0.182
z2759	z2759	8.037	0.236
ecs2436	ecs2436	8.037	0.236
b1730	b1730	8.037	0.236
z2760	z2760	9.943	0.030
ecs2437	ecs2437	9.943	0.030
c2129	c2129	9.943	0.030
b1731	b1731	9.943	0.030
z2766	z2766	9.223	-0.001
ecs2442	ecs2442	9.223	-0.001
c2135	c2135	9.223	-0.001
b1736	b1736	9.223	-0.001
z2767	z2767	8.561	0.205
ecs2443	ecs2443	8.561	0.205
c2136	c2136	8.561	0.205
b1737	b1737	8.561	0.205
z2769	z2769	9.177	0.886
b1739	b1739	9.177	0.886
c2138	c2138	9.177	0.886
ecs2445	ecs2445	9.177	0.886
z2770	z2770	10.402	0.662
ecs2446	ecs2446	10.402	0.662
c2139	c2139	10.402	0.662
b1740	b1740	10.402	0.662
z2771	z2771	9.609	0.817
ecs2447	ecs2447	9.609	0.817
z2774	z2774	9.521	0.318
ecs2448	ecs2448	9.521	0.318
b1742	b1742	9.521	0.318
c2141	c2141	9.521	0.318
z2775	z2775	9.743	1.097
ecs2449	ecs2449	9.743	1.097
c2143	c2143	9.743	1.097
b1743	b1743	9.743	1.097
z2777	z2777	8.195	0.285
b1745	b1745	8.195	0.285
ecs2451	ecs2451	8.195	0.285
z2780	z2780	8.914	0.142
ecs2454	ecs2454	8.914	0.142
b1748	b1748	8.914	0.142
z2782	z2782	8.803	-0.146
c2151	c2151	8.803	-0.146
b1750	b1750	8.803	-0.146
ecs2456	ecs2456	8.803	-0.146
z2786	z2786	10.621	-0.198
ecs2460	ecs2460	10.621	-0.198
z2787	z2787	8.580	0.374
ecs2461	ecs2461	8.580	0.374
z2790	z2790	3.786	-0.508
b1758	b1758	3.786	-0.508
ecs2464	ecs2464	3.786	-0.508
z2797	z2797	10.564	-0.453
c2167	c2167	10.564	-0.453
ecs2470	ecs2470	10.564	-0.453
b1764	b1764	10.564	-0.453
z2799	z2799	9.587	-0.114
ecs2472	ecs2472	9.587	-0.114
z2801	z2801	10.097	-0.397
ecs2474	ecs2474	10.097	-0.397
c2171	c2171	10.097	-0.397
b1767	b1767	10.097	-0.397
z2803	z2803	8.228	0.074
ecs2476	ecs2476	8.228	0.074
z2809	z2809	9.181	-0.160
ecs2480	ecs2480	9.181	-0.160
c2175	c2175	9.181	-0.160
b1771	b1771	9.181	-0.160
z2810	z2810	8.556	-0.069
ecs2481	ecs2481	8.556	-0.069
z2817	z2817	8.990	0.098
c2183	c2183	8.990	0.098
b1778	b1778	8.990	0.098
ecs2487	ecs2487	8.990	0.098
z2824	z2824	9.152	0.391
c2189	c2189	9.152	0.391
ecs2493	ecs2493	9.152	0.391
b1784	b1784	9.152	0.391
z2829	z2829	9.585	0.364
b1789	b1789	9.585	0.364
ecs2498	ecs2498	9.585	0.364
c2194	c2194	9.585	0.364
z2831	z2831	9.235	0.312
b1790	b1790	9.235	0.312
ecs2499	ecs2499	9.235	0.312
c2195	c2195	9.235	0.312
z2833	z2833	8.936	0.184
ecs2500	ecs2500	8.936	0.184
b1791	b1791	8.936	0.184
c2196	c2196	8.936	0.184
z2837	z2837	9.302	0.764
c2200	c2200	9.302	0.764
ecs2504	ecs2504	9.302	0.764
b1795	b1795	9.302	0.764
z2842	z2842	9.007	0.295
b1799	b1799	9.007	0.295
ecs2508	ecs2508	9.007	0.295
z2844	z2844	8.577	0.399
b1801	b1801	8.577	0.399
ecs2510	ecs2510	8.577	0.399
z2845	z2845	9.496	0.397
b1802	b1802	9.496	0.397
ecs2511	ecs2511	9.496	0.397
z2846	z2846	8.612	0.168
ecs2512	ecs2512	8.612	0.168
z2848	z2848	9.238	-0.230
ecs2514	ecs2514	9.238	-0.230
z2852	z2852	9.841	0.127
c2213	c2213	9.841	0.127
b1809	b1809	9.841	0.127
ecs2518	ecs2518	9.841	0.127
z2859	z2859	9.567	0.279
c2222	c2222	9.567	0.279
ecs2525	ecs2525	9.567	0.279
b1816	b1816	9.567	0.279
z2862	z2862	10.515	-1.824
c2226	c2226	10.515	-1.824
ecs2529	ecs2529	10.515	-1.824
b1819	b1819	10.515	-1.824
z2864	z2864	9.445	-0.301
c2228	c2228	9.445	-0.301
ecs2531	ecs2531	9.445	-0.301
b1821	b1821	9.445	-0.301
z2868	z2868	11.861	-0.338
c2231	c2231	11.861	-0.338
ecs2533	ecs2533	11.861	-0.338
b1823	b1823	11.861	-0.338
z2872	z2872	11.013	0.504
b1826	b1826	11.013	0.504
c2234	c2234	11.013	0.504
ecs2536	ecs2536	11.013	0.504
z2873	z2873	9.624	0.245
b4536	b4536	9.624	0.245
c2235	c2235	9.624	0.245
z2877	z2877	9.862	-0.908
c2239	c2239	9.862	-0.908
b1830	b1830	9.862	-0.908
ecs2540	ecs2540	9.862	-0.908
z2878	z2878	11.149	-1.114
c2240	c2240	11.149	-1.114
ecs2541	ecs2541	11.149	-1.114
b1831	b1831	11.149	-1.114
z2881	z2881	8.801	-0.352
ecs2544	ecs2544	8.801	-0.352
z2884	z2884	9.427	0.213
ecs2547	ecs2547	9.427	0.213
c2246	c2246	9.427	0.213
b1837	b1837	9.427	0.213
z2888	z2888	9.593	0.455
c2250	c2250	9.593	0.455
ecs2550	ecs2550	9.593	0.455
b1840	b1840	9.593	0.455
z2897	z2897	10.623	1.477
b1846	b1846	10.623	1.477
ecs2556	ecs2556	10.623	1.477
c2258	c2258	10.623	1.477
z2900	z2900	10.820	-0.098
b1848	b1848	10.820	-0.098
ecs2558	ecs2558	10.820	-0.098
c2260	c2260	10.820	-0.098
z2905	z2905	9.280	-0.297
c2267	c2267	9.280	-0.297
b1853	b1853	9.280	-0.297
ecs2563	ecs2563	9.280	-0.297
z2909	z2909	9.088	0.001
b1857	b1857	9.088	0.001
ecs2567	ecs2567	9.088	0.001
c2271	c2271	9.088	0.001
z2912	z2912	10.430	0.037
b1860	b1860	10.430	0.037
ecs2570	ecs2570	10.430	0.037
z2913	z2913	10.222	-0.031
c2275	c2275	10.222	-0.031
ecs2571	ecs2571	10.222	-0.031
b1861	b1861	10.222	-0.031
z2916	z2916	10.986	-0.712
ecs2574	ecs2574	10.986	-0.712
b1864	b1864	10.986	-0.712
c2278	c2278	10.986	-0.712
z2922	z2922	10.214	-0.271
c2283	c2283	10.214	-0.271
b1869	b1869	10.214	-0.271
ecs2579	ecs2579	10.214	-0.271
z2924	z2924	10.028	-0.602
ecs2581	ecs2581	10.028	-0.602
b1871	b1871	10.028	-0.602
z2925	z2925	8.135	0.193
b1872	b1872	8.135	0.193
ecs2582	ecs2582	8.135	0.193
z2927	z2927	8.866	-0.032
ecs2584	ecs2584	8.866	-0.032
b1874	b1874	8.866	-0.032
c2289	c2289	8.866	-0.032
z2928	z2928	9.480	0.249
c2290	c2290	9.480	0.249
b1875	b1875	9.480	0.249
ecs2585	ecs2585	9.480	0.249
z2930	z2930	9.527	0.155
ecs2587	ecs2587	9.527	0.155
b1877	b1877	9.527	0.155
z2932	z2932	9.146	-0.176
ecs2589	ecs2589	9.146	-0.176
c2293	c2293	9.146	-0.176
b1879	b1879	9.146	-0.176
z2938	z2938	8.635	0.304
ecs2594	ecs2594	8.635	0.304
c2299	c2299	8.635	0.304
b1884	b1884	8.635	0.304
z2940	z2940	9.901	0.667
b1886	b1886	9.901	0.667
c2301	c2301	9.901	0.667
ecs2596	ecs2596	9.901	0.667
z2943	z2943	9.754	0.187
ecs2599	ecs2599	9.754	0.187
c2304	c2304	9.754	0.187
b1889	b1889	9.754	0.187
z2945	z2945	10.018	-1.396
ecs2601	ecs2601	10.018	-1.396
c2306	c2306	10.018	-1.396
b1891	b1891	10.018	-1.396
z2949	z2949	9.379	0.409
c2310	c2310	9.379	0.409
ecs2604	ecs2604	9.379	0.409
b1896	b1896	9.379	0.409
z2953	z2953	9.239	0.153
b1900	b1900	9.239	0.153
c2313	c2313	9.239	0.153
ecs2608	ecs2608	9.239	0.153
z2959	z2959	7.158	-0.063
ecs2612	ecs2612	7.158	-0.063
b1904	b1904	7.158	-0.063
c2319	c2319	7.158	-0.063
z2963	z2963	9.468	-0.384
b1907	b1907	9.468	-0.384
c2323	c2323	9.468	-0.384
ecs2615	ecs2615	9.468	-0.384
z2967	z2967	9.828	-0.383
ecs2618	ecs2618	9.828	-0.383
z2968	z2968	9.725	-0.457
ecs2619	ecs2619	9.725	-0.457
z2969	z2969	10.273	-0.500
ecs2620	ecs2620	10.273	-0.500
z2972	z2972	9.273	0.079
ecs2624	ecs2624	9.273	0.079
z2974	z2974	8.573	-0.105
ecs2626	ecs2626	8.573	-0.105
z2975	z2975	8.612	0.224
ecs2629	ecs2629	8.612	0.224
z2978	z2978	9.077	0.191
z2979	z2979	9.353	0.170
ecs2634	ecs2634	9.353	0.170
z2980	z2980	8.834	0.144
ecs2635	ecs2635	8.834	0.144
z2983	z2983	9.610	0.114
z2984	z2984	9.955	0.050
ecs2638	ecs2638	9.955	0.050
z2985	z2985	9.372	-0.066
ecs2639	ecs2639	9.372	-0.066
z2986	z2986	8.966	0.150
ecs2640	ecs2640	8.966	0.150
z2987	z2987	8.883	-0.058
ecs2641	ecs2641	8.883	-0.058
z2990	z2990	9.430	0.109
ecs2644	ecs2644	9.430	0.109
z2991	z2991	9.579	0.073
ecs2645	ecs2645	9.579	0.073
z2992	z2992	8.442	-0.081
ecs2646	ecs2646	8.442	-0.081
z2994	z2994	8.920	-0.181
ecs2649	ecs2649	8.920	-0.181
z3000	z3000	9.103	0.239
c2325	c2325	9.103	0.239
b1912	b1912	9.103	0.239
ecs2650	ecs2650	9.103	0.239
z3003	z3003	9.985	-0.816
ecs2653	ecs2653	9.985	-0.816
c2329	c2329	9.985	-0.816
b1915	b1915	9.985	-0.816
z3004	z3004	9.384	-0.165
b1916	b1916	9.384	-0.165
ecs2654	ecs2654	9.384	-0.165
c2330	c2330	9.384	-0.165
z3010	z3010	10.701	2.189
ecs2659	ecs2659	10.701	2.189
c2335	c2335	10.701	2.189
b1920	b1920	10.701	2.189
z3012	z3012	9.338	-0.700
b1922	b1922	9.338	-0.700
ecs2661	ecs2661	9.338	-0.700
c2337	c2337	9.338	-0.700
z3015	z3015	9.572	0.142
c2340	c2340	9.572	0.142
ecs2664	ecs2664	9.572	0.142
b1925	b1925	9.572	0.142
z3021	z3021	9.085	0.260
ecs2670	ecs2670	9.085	0.260
b1931	b1931	9.085	0.260
z3023	z3023	10.169	-0.226
ecs2672	ecs2672	10.169	-0.226
z3025	z3025	9.054	0.106
ecs2673	ecs2673	9.054	0.106
z3026	z3026	9.736	-0.227
ecs2674	ecs2674	9.736	-0.227
z3028	z3028	9.207	-0.254
c2354	c2354	9.207	-0.254
b1938	b1938	9.207	-0.254
ecs2677	ecs2677	9.207	-0.254
z3031	z3031	9.078	-0.153
ecs2680	ecs2680	9.078	-0.153
c2358	c2358	9.078	-0.153
b1941	b1941	9.078	-0.153
z3034	z3034	9.767	-0.793
c2361	c2361	9.767	-0.793
b1944	b1944	9.767	-0.793
ecs2683	ecs2683	9.767	-0.793
z3035	z3035	10.067	-0.716
ecs2684	ecs2684	10.067	-0.716
c2362	c2362	10.067	-0.716
b1945	b1945	10.067	-0.716
z3037	z3037	9.288	-0.627
b1947	b1947	9.288	-0.627
c2364	c2364	9.288	-0.627
ecs2686	ecs2686	9.288	-0.627
z3041	z3041	9.325	0.164
c2369	c2369	9.325	0.164
b1951	b1951	9.325	0.164
ecs2690	ecs2690	9.325	0.164
z3042	z3042	9.453	0.132
b1952	b1952	9.453	0.132
ecs2691	ecs2691	9.453	0.132
c2370	c2370	9.453	0.132
z3048	z3048	10.612	0.572
c2376	c2376	10.612	0.572
b1957	b1957	10.612	0.572
ecs2695	ecs2695	10.612	0.572
z3054	z3054	9.586	0.042
c2380	c2380	9.586	0.042
b1961	b1961	9.586	0.042
ecs2699	ecs2699	9.586	0.042
z3055	z3055	9.797	0.298
ecs2700	ecs2700	9.797	0.298
c2381	c2381	9.797	0.298
b1962	b1962	9.797	0.298
z3058	z3058	9.518	0.116
z3060	z3060	8.719	0.483
ecs2706	ecs2706	8.719	0.483
b1968	b1968	8.719	0.483
z3062	z3062	9.915	3.696
ecs2708	ecs2708	9.915	3.696
z3066	z3066	9.007	0.352
z3067	z3067	9.839	0.783
b1974	b1974	9.839	0.783
ecs2712	ecs2712	9.839	0.783
z3069	z3069	8.986	0.145
z3071	z3071	7.803	-0.037
ecs2714	ecs2714	7.803	-0.037
z3073	z3073	11.071	-0.070
z3083	z3083	10.219	0.082
z3084	z3084	8.808	0.147
z3086	z3086	9.639	0.235
ecs2951	ecs2951	9.639	0.235
z3087	z3087	9.409	0.042
z3090	z3090	9.734	0.101
ecs2955	ecs2955	9.734	0.101
z3092	z3092	9.443	0.204
z3116	z3116	8.822	0.106
z3117	z3117	10.037	0.073
z3118	z3118	10.175	0.526
z3119	z3119	8.602	0.083
ecs2756	ecs2756	8.602	0.083
z3121	z3121	9.072	0.258
ecs2759	ecs2759	9.072	0.258
z3123	z3123	9.488	0.096
ecs2762	ecs2762	9.488	0.096
z3124	z3124	9.679	0.265
z3125	z3125	9.186	-0.222
z3126	z3126	10.790	-0.375
ecs2766	ecs2766	10.790	-0.375
z3127	z3127	7.861	-0.057
ecs2767	ecs2767	7.861	-0.057
z3128	z3128	10.409	0.246
ecs2768	ecs2768	10.409	0.246
z3130	z3130	8.540	-0.025
ecs2773	ecs2773	8.540	-0.025
z3135	z3135	9.678	0.096
z3136	z3136	8.976	0.189
z3140	z3140	10.726	-1.045
c2445	c2445	10.726	-1.045
ecs2780	ecs2780	10.726	-1.045
b1983	b1983	10.726	-1.045
z3143	z3143	9.843	0.317
z3144	z3144	9.257	0.414
z3151	z3151	9.671	0.210
ecs2786	ecs2786	9.671	0.210
z3167	z3167	8.781	0.186
ecs2808	ecs2808	8.781	0.186
z3169	z3169	9.340	-0.027
b2008	b2008	9.340	-0.027
ecs2810	ecs2810	9.340	-0.027
c2536	c2536	9.340	-0.027
z3171	z3171	8.346	0.027
b2010	b2010	8.346	0.027
c2538	c2538	8.346	0.027
ecs2812	ecs2812	8.346	0.027
z3173	z3173	9.674	0.182
b2011	b2011	9.674	0.182
ecs2813	ecs2813	9.674	0.182
c2539	c2539	9.674	0.182
z3174	z3174	10.232	2.204
ecs2814	ecs2814	10.232	2.204
b2012	b2012	10.232	2.204
z3177	z3177	9.994	0.251
b2015	b2015	9.994	0.251
ecs2817	ecs2817	9.994	0.251
c2542	c2542	9.994	0.251
z3179	z3179	8.347	0.047
z3180	z3180	7.919	0.625
ecs2819	ecs2819	7.919	0.625
z3182	z3182	9.668	0.719
ecs2821	ecs2821	9.668	0.719
z3184	z3184	9.046	0.897
ecs2823	ecs2823	9.046	0.897
b2022	b2022	9.046	0.897
z3185	z3185	9.394	0.758
b2023	b2023	9.394	0.758
ecs2824	ecs2824	9.394	0.758
c2550	c2550	9.394	0.758
z3187	z3187	10.294	0.713
ecs2826	ecs2826	10.294	0.713
c2552	c2552	10.294	0.713
b2025	b2025	10.294	0.713
z3188	z3188	9.760	0.829
ecs2827	ecs2827	9.760	0.829
z3192	z3192	10.821	-1.031
ecs2831	ecs2831	10.821	-1.031
z3194	z3194	10.837	-0.967
ecs2835	ecs2835	10.837	-0.967
c2557	c2557	10.837	-0.967
z3196	z3196	10.989	-1.590
ecs2837	ecs2837	10.989	-1.590
z3197	z3197	10.991	-1.530
ecs2838	ecs2838	10.991	-1.530
z3199	z3199	10.250	-1.512
ecs2840	ecs2840	10.250	-1.512
z3202	z3202	9.900	-0.856
ecs2843	ecs2843	9.900	-0.856
z3203	z3203	10.518	-1.199
ecs2844	ecs2844	10.518	-1.199
z3204	z3204	10.570	-1.088
ecs2845	ecs2845	10.570	-1.088
z3205	z3205	10.325	-0.574
ecs2846	ecs2846	10.325	-0.574
c2567	c2567	10.325	-0.574
b2042	b2042	10.325	-0.574
z3206	z3206	10.950	-1.060
ecs2847	ecs2847	10.950	-1.060
z3208	z3208	8.656	0.177
ecs2849	ecs2849	8.656	0.177
